Time,Temperature,Pressure1,Sound,Light,Pressure2,Humidity,Comment
, C, kPa, dBA, lx, kPa, %RH,
0,18.7,97.6,50.3,69,97.91,50.3,
0.02,18.7,97.4,43.1,77,97.94,50.2,
0.04,18.7,97.4,40,78,97.93,50.2,
0.06,18.7,97.6,75.5,75,97.95,50.1,
0.08,18.7,97.6,40,4,97.95,50.1,
0.1,18.7,97.4,72,1,97.93,50,
0.12,18.7,97.4,62,1,97.93,50,
0.13,18.7,97.4,40,1,97.95,50,
0.15,18.7,97.4,69.2,65,97.94,50,
0.17,18.7,97.4,62.3,77,97.95,50,
0.19,18.7,97.4,57.2,50,97.93,50.1,
0.21,18.7,97.4,40,51,97.94,50.1,
0.23,18.7,97.6,76.4,55,97.96,50.1,
0.25,18.7,97.4,72.1,72,97.91,50.1,
0.27,18.7,97.6,66,74,97.93,50.1,
0.29,18.7,97.4,70.7,76,97.94,50,
0.31,18.7,97.6,60.8,76,97.95,50.1,
0.33,18.7,97.4,76.4,76,97.96,50.1,
0.35,18.7,97.4,52.5,56,97.94,50,
0.36,18.7,97.6,67,68,97.94,50.1,
0.38,18.7,97.4,45,77,97.92,50.1,
0.4,18.7,97.6,40,77,97.93,50.2,
0.42,18.7,97.6,40,77,97.91,50.2,
0.44,18.7,97.6,42.9,76,97.94,50.1,
0.46,18.6,97.6,66.2,73,97.97,50.1,
0.48,18.6,97.6,69.2,78,97.93,50.1,
0.5,18.6,97.6,64.2,78,97.94,50.1,
0.52,18.6,97.6,41.9,75,97.94,50.1,
0.54,18.6,97.6,73.2,78,97.95,50,
0.56,18.6,97.6,44.2,77,97.97,50,
0.58,18.6,97.6,69.6,77,97.95,50,
0.041666667,18.6,97.6,60.3,76,97.94,50,
1.01,18.6,97.6,60.3,79,97.92,49.9,
1.03,18.6,97.6,64.5,79,97.95,49.9,
1.05,18.6,97.6,53.3,79,97.95,49.9,
1.07,18.6,97.6,60.2,78,97.96,49.9,
1.09,18.6,97.6,50.9,78,97.94,49.9,
1.11,18.6,97.6,59.7,79,97.96,49.8,
1.13,18.6,97.6,65.6,79,97.96,49.8,
1.15,18.6,97.6,69.4,79,97.94,49.8,
1.17,18.6,97.6,57.7,79,97.94,49.8,
1.19,18.6,97.6,72.3,71,97.95,49.8,
1.21,18.6,97.6,70.6,79,97.93,49.7,
1.23,18.6,97.6,71.2,79,97.94,49.7,
1.24,18.6,97.6,50.6,79,97.93,49.7,
1.26,18.6,97.6,64.1,79,97.93,49.7,
1.28,18.6,97.6,50.1,79,97.9,49.6,
1.3,18.6,97.6,61.4,79,97.93,49.6,
1.32,18.6,97.6,60.7,79,97.95,49.6,
1.34,18.6,97.6,46,79,97.93,49.6,
1.36,18.6,97.6,44.2,79,97.95,49.6,
1.38,18.6,97.4,57.8,79,97.95,49.5,
1.4,18.6,97.4,63.9,67,97.93,49.5,
1.42,18.6,97.4,58.6,64,97.92,49.5,
1.44,18.6,97.4,71.3,64,97.93,49.5,
1.46,18.6,97.6,69,72,97.95,49.5,
1.48,18.6,97.6,56.6,80,97.95,49.5,
1.5,18.6,97.6,72.8,80,97.94,49.4,
1.52,18.6,97.6,63.1,80,97.96,49.4,
1.54,18.6,97.6,66.5,81,97.93,49.4,
1.56,18.6,97.6,62.2,81,97.92,49.4,
1.58,18.6,97.6,71.3,80,97.96,49.4,
1.041666667,18.6,97.6,67.3,80,97.93,49.4,
2.01,18.5,97.6,65.4,80,97.95,49.4,
2.03,18.5,97.6,51.4,80,97.98,49.4,
2.05,18.6,97.6,60.2,80,97.93,49.4,
2.07,18.6,97.6,70.8,77,97.93,49.4,
2.09,18.6,97.6,62.3,75,97.96,49.4,
2.11,18.6,97.6,71.6,76,97.97,49.3,
2.12,18.6,97.6,40,76,97.94,49.3,
2.14,18.6,97.6,63.4,76,97.94,49.3,
2.16,18.6,97.6,69.7,76,97.96,49.3,
2.18,18.6,97.6,59.1,76,97.97,49.3,
2.2,18.6,97.6,69.9,76,97.94,49.3,
2.22,18.6,97.6,71.9,77,97.96,49.3,
2.24,18.6,97.4,69.5,76,97.94,49.3,
2.26,18.6,97.6,75.8,76,97.95,49.3,
2.28,18.6,97.6,64.6,77,97.93,49.3,
2.3,18.6,97.6,66,80,97.97,49.2,
2.32,18.6,97.6,76.3,80,97.94,49.2,
2.34,18.6,97.6,66.7,80,97.93,49.2,
2.36,18.6,97.6,75.8,79,97.95,49.2,
2.37,18.5,97.6,70.8,80,97.95,49.2,
2.39,18.5,97.4,40,79,97.95,49.2,
2.41,18.5,97.6,40,80,97.92,49.2,
2.43,18.5,97.6,69.8,78,97.96,49.2,
2.45,18.5,97.6,40,78,97.92,49.2,
2.47,18.5,97.6,60.2,79,97.94,49.2,
2.49,18.5,97.6,48.4,79,97.92,49.2,
2.51,18.6,97.6,66.5,79,97.93,49.2,
2.53,18.6,97.6,60.4,79,97.93,49.1,
2.55,18.6,97.6,64,76,97.94,49.1,
2.57,18.6,97.6,41.6,75,97.93,49.1,
2.59,18.6,97.6,69.3,74,97.94,49.1,
3,18.6,97.6,40,72,97.95,49.1,
3.02,18.6,97.6,74.3,78,97.91,49.1,
3.04,18.6,97.6,57.1,78,97.94,49.1,
3.06,18.6,97.6,49.6,79,97.93,49.1,
